Hallo!,Hello!
Ich reise gerne.,I like traveling.
Ich schreibe eine E-Mail.,I’m writing an email.
Kannst du mir eine SMS schicken?,Can you send me a text message?
Ich rufe dich an.,I’ll call you.
Hast du meine Nachricht erhalten?,Did you get my message?
Ich kann dich nicht hören.,I can’t hear you.
Mein Akku ist leer.,My battery is dead.
Wo ist eine Steckdose?,Where is a power outlet?
Ich brauche Wi-Fi.,I need Wi-Fi.
Wie ist das WLAN-Passwort?,What’s the Wi-Fi password?
Das Internet ist langsam.,The internet is slow.
Ich habe kein Netz.,I have no signal.
Kannst du das Bild senden?,Can you send the picture?
Ich lade die App herunter.,I’m downloading the app.
Ich muss meinen Computer neu starten.,I need to restart my computer.
Die Verbindung ist schlecht.,The connection is bad.
Ich fühle mich schlecht.,I feel bad.
Ich habe Kopfschmerzen.,I have a headache.
Mir ist schwindelig.,I feel dizzy.
Ich habe Fieber.,I have a fever.
Ich bin erkältet.,I have a cold.
Ich brauche einen Arzttermin.,I need a doctor’s appointment.
Nehmen Sie Medikamente?,Do you take medication?
Ich bin allergisch gegen [Pollen].,I’m allergic to [pollen].
Ich habe Rückenschmerzen.,I have back pain.
Haben Sie etwas gegen [Kopfschmerzen]?,Do you have something for [headaches]?
Ich brauche eine Krankschreibung.,I need a sick note.
Ich habe meine Brille vergessen.,I forgot my glasses.
Ich bin schwanger.,I’m pregnant.
Ich muss mich ausruhen.,I need to rest.
Ich habe mich verletzt.,I injured myself.
Ich bin glücklich.,I am happy.
Ich bin traurig.,I am sad.
Ich bin müde.,I am tired.
Ich bin gestresst.,I am stressed.
Ich bin aufgeregt.,I am excited.
Ich bin nervös.,I am nervous.
Ich bin wütend.,I am angry.
Ich bin enttäuscht.,I am disappointed.
Ich bin überrascht.,I am surprised.
Ich habe Angst.,I am afraid.
Ich fühle mich allein.,I feel lonely.
Ich bin zufrieden.,I am content.
Ich bin stolz auf dich.,I am proud of you.
Ich fühle mich überfordert.,I feel overwhelmed.
Ich bin gelangweilt.,I am bored.
Ich bin frustriert.,I am frustrated.
Das ist mir Wurst.,I don’t care. (Lit. "That’s sausage to me.")
Das Leben ist kein Ponyhof.,Life isn’t a bed of roses. (Lit. "Life isn’t a pony farm.")
Ich drücke dir die Daumen.,I’m keeping my fingers crossed for you. (Lit. "I’m pressing my thumbs for you.")
Es ist nicht alles Gold, was glänzt.,Not everything that glitters is gold.
Da ist der Wurm drin.,Something’s not right. (Lit. "There’s a worm in it.")
Tomaten auf den Augen haben.,To be oblivious. (Lit. "To have tomatoes on your eyes.")
Ich verstehe nur Bahnhof.,It’s all Greek to me. (Lit. "I only understand train station.")
Hals- und Beinbruch!,Break a leg! (Lit. "Neck and leg break!")
Die Zeit heilt alle Wunden.,Time heals all wounds.
Reden ist Silber, Schweigen ist Gold.,Silence is golden.
Viele Köche verderben den Brei.,Too many cooks spoil the broth.
Jetzt haben wir den Salat.,Now we have a mess. (Lit. "Now we have the salad.")
Auf Wolke sieben sein.,To be on cloud nine. (Lit. "To be on cloud seven.")
Jemandem die Daumen drücken.,To keep one’s fingers crossed for someone.
Gehen wir tanzen?,Shall we go dancing?
Hast du Lust auf einen Film?,Do you feel like watching a movie?
Lass uns etwas trinken gehen.,Let’s go have a drink.
Ich lade dich ein.,I’m inviting you. (I’ll pay.)
Was machst du am Wochenende?,What are you doing this weekend?
Hast du Pläne für heute Abend?,Do you have plans for tonight?
Lass uns treffen!,Let’s meet up!
Ich kenne ein gutes Restaurant.,I know a good restaurant.
Ich möchte einen Tisch für zwei reservieren.,I’d like to reserve a table for two.
Was läuft gerade im Kino?,What’s playing at the cinema right now?
Ich gehe gerne spazieren.,I like going for walks.
Kennst du einen guten Club?,Do you know a good club?
Das war ein toller Abend!,That was a great evening!
Kommst du zur Party?,Are you coming to the party?
Das macht wirklich Spaß!,This is really fun!
Möchtest du mit mir ausgehen?,Would you like to go out with me?
Ich mag dich.,I like you.
Du bist wunderschön.,You are beautiful.
Ich denke die ganze Zeit an dich.,I think about you all the time.
Ich vermisse dich.,I miss you.
Willst du mein Freund sein?,Will you be my boyfriend?
Willst du meine Freundin sein?,Will you be my girlfriend?
Ich kann nicht ohne dich leben.,I can’t live without you.
Willst du mich heiraten?,Will you marry me?
Du bist mein Ein und Alles.,You are my everything.
Ich bin so glücklich mit dir.,I’m so happy with you.
Ich werde immer für dich da sein.,I will always be there for you.
Du bedeutest mir alles.,You mean everything to me.
Du hast mein Herz erobert.,You have conquered my heart.
Ich liebe dich von ganzem Herzen.,I love you with all my heart.
Ich finde, dass…,I think that…
Meiner Meinung nach…,In my opinion…
Ich glaube, du hast Recht.,I think you’re right.
Das ist eine schwierige Entscheidung.,That’s a difficult decision.
Ich bin mir nicht sicher, was ich machen soll.,I’m not sure what to do.
Ich brauche mehr Zeit zum Nachdenken.,I need more time to think.
Was würdest du an meiner Stelle tun?,What would you do in my place?
Ich stimme dir vollkommen zu.,I completely agree with you.
Das sehe ich anders.,I see it differently.
Ich habe meine Meinung geändert.,I changed my mind.
Der Termin ist um 10 Uhr.,The appointment is at 10 o’clock.
Ich bin zu spät.,I’m late.
Ich komme pünktlich.,I’ll be on time.
Wann hast du Zeit?,When do you have time?
Können wir den Termin verschieben?,Can we reschedule the appointment?
Wir haben den ganzen Tag Zeit.,We have the whole day.
Das Meeting dauert eine Stunde.,The meeting lasts one hour.
Ich habe noch fünf Minuten.,I still have five minutes.
Ich bin in einer halben Stunde da.,I’ll be there in half an hour.
Der Zug kommt um 14 Uhr an.,The train arrives at 2 PM.
Ich habe es eilig.,I’m in a hurry.
Lass uns nicht zu spät kommen.,Let’s not be late.
Der Wecker klingelt um 7 Uhr.,The alarm rings at 7 AM.
Ich kann nicht länger warten.,I can’t wait any longer.
Es ist höchste Zeit zu gehen.,It’s high time to go.
Ich arbeite als [Lehrer].,I work as a [teacher].
Ich habe eine Besprechung.,I have a meeting.
Ich muss Überstunden machen.,I have to work overtime.
Hast du den Bericht fertig?,Do you have the report ready?
Wir müssen eine Präsentation vorbereiten.,We have to prepare a presentation.
Das ist ein wichtiges Projekt.,This is an important project.
Ich brauche eine Pause.,I need a break.
Wann ist die Deadline?,When is the deadline?
Ich bin sehr beschäftigt.,I’m very busy.
Hast du meine E-Mail erhalten?,Did you get my email?
Ich bin in einer Videokonferenz.,I’m in a video conference.
Ich werde den Kunden anrufen.,I will call the client.
Wir müssen das Budget besprechen.,We need to discuss the budget.
Ich bin verantwortlich für dieses Projekt.,I’m responsible for this project.
Ich brauche mehr Informationen.,I need more information.
Ich studiere an der Universität.,I study at the university.
Ich habe eine Prüfung nächste Woche.,I have an exam next week.
Ich lerne Deutsch.,I’m learning German.
Kannst du mir das erklären?,Can you explain that to me?
Ich brauche Nachhilfe.,I need tutoring.
Ich habe mein Buch vergessen.,I forgot my book.
Das ist meine Lieblingsfach.,That’s my favorite subject.
Ich muss für die Prüfung lernen.,I need to study for the exam.
Das ist eine schwierige Aufgabe.,That’s a difficult task.
Ich bin gut in Mathe.,I’m good at math.
Ich habe die Hausaufgaben gemacht.,I did the homework.
Kann ich deine Notizen ausleihen?,Can I borrow your notes?
Ich verstehe das nicht.,I don’t understand that.
Ich habe eine gute Note bekommen.,I got a good grade.
Ich muss meine Abschlussarbeit schreiben.,I need to write my thesis.
Wann fährt der nächste Zug?,When does the next train leave?
Wo ist die Bushaltestelle?,Where is the bus stop?
Ich brauche eine Fahrkarte nach Berlin.,I need a ticket to Berlin.
Wie komme ich zum Flughafen?,How do I get to the airport?
Gibt es einen Direktflug nach München?,Is there a direct flight to Munich?
Wie lange dauert die Fahrt?,How long does the trip take?
Muss ich umsteigen?,Do I have to change trains?
Wo kann ich ein Taxi nehmen?,Where can I get a taxi?
Ist dieser Platz frei?,Is this seat taken?
Der Zug hat Verspätung.,The train is delayed.
Ich möchte ein Auto mieten.,I’d like to rent a car.
Brauchen Sie einen Reisepass?,Do you need a passport?
Wann landen wir?,When do we land?
Haben Sie Ihr Gepäck?,Do you have your luggage?
Wo ist die Information?,Where is the information desk?
Kann ich Ihnen helfen?,Can I help you?
Ich suche nach [einer Jacke].,I’m looking for [a jacket].
Welche Größe haben Sie?,What size do you wear?
Kann ich das anprobieren?,Can I try this on?
Haben Sie das in einer anderen Farbe?,Do you have this in another color?
Wie viel kostet das?,How much does this cost?
Das ist mir zu teuer.,That’s too expensive for me.
Gibt es einen Rabatt?,Is there a discount?
Kann ich mit Kreditkarte zahlen?,Can I pay with a credit card?
Wo ist die Kasse?,Where is the checkout?
Ich möchte das zurückgeben.,I’d like to return this.
Haben Sie einen Kassenzettel?,Do you have a receipt?
Kann ich eine Tüte bekommen?,Can I get a bag?
Haben Sie eine Kundenkarte?,Do you have a loyalty card?
Ich möchte das umtauschen.,I’d like to exchange this.
Ich brauche Hilfe!,I need help!
Rufen Sie die Polizei!,Call the police!
Rufen Sie einen Krankenwagen!,Call an ambulance!
Es ist ein Notfall!,It’s an emergency!
Ich habe meine Brieftasche verloren.,I lost my wallet.
Ich habe mich verlaufen.,I’m lost.
Ich wurde bestohlen.,I was robbed.
Wo ist die nächste Apotheke?,Where is the nearest pharmacy?
Ich brauche einen Arzt.,I need a doctor.
Wo ist das Krankenhaus?,Where is the hospital?
Ich habe mich verletzt.,I hurt myself.
Ich habe einen Unfall gehabt.,I had an accident.
Gibt es einen Notausgang?,Is there an emergency exit?
Bleiben Sie ruhig.,Stay calm.
Haben Sie Feuer?,Do you have a fire?
Ich habe meinen Pass verloren.,I lost my passport.
Wo ist die Botschaft?,Where is the embassy?
Ich brauche ein Taxi.,I need a taxi.
Können Sie mich zur nächsten Polizeistation bringen?,Can you take me to the nearest police station?
Ist jemand verletzt?,Is anyone injured?
Kann ich ein Telefon benutzen?,Can I use a phone?
Ich brauche Wasser.,I need water.
Wo kann ich ein Hotel finden?,Where can I find a hotel?
Gibt es hier eine Notrufnummer?,Is there an emergency number here?
Ich bin hungrig.,I’m hungry.
Ich bin durstig.,I’m thirsty.
Könnten Sie mir die Speisekarte bringen?,Could you bring me the menu?
Was empfehlen Sie?,What do you recommend?
Ich bin Vegetarier.,I’m a vegetarian.
Gibt es glutenfreie Optionen?,Are there gluten-free options?
Ich möchte bestellen.,I’d like to order.
Das schmeckt lecker!,This tastes delicious!
Ich hätte gerne ein Glas Wasser.,I’d like a glass of water.
Könnte ich die Rechnung bekommen?,Could I get the bill?
Könnte ich ein bisschen mehr Brot haben?,Could I have some more bread?
Ich hätte gerne das Tagesgericht.,I’d like the dish of the day.
Ist das scharf?,Is it spicy?
Ich hätte gerne eine Vorspeise.,I’d like an appetizer.
Ich bin allergisch gegen Nüsse.,I’m allergic to nuts.
Könnten Sie das bitte ohne [Zwiebeln] machen?,Could you make that without [onions]?
Kann ich das mitnehmen?,Can I take this to go?
Das Fleisch ist nicht durchgebraten.,The meat is undercooked.
Das ist zu salzig.,This is too salty.
Haben Sie vegetarische Gerichte?,Do you have vegetarian dishes?
Ich habe keinen Appetit.,I’m not hungry.
Wie ist das Wetter heute?,How is the weather today?
Es regnet.,It’s raining.
Es schneit.,It’s snowing.
Die Sonne scheint.,The sun is shining.
Es ist bewölkt.,It’s cloudy.
Es ist windig.,It’s windy.
Es ist heiß.,It’s hot.
Es ist kalt.,It’s cold.
Es ist neblig.,It’s foggy.
Es ist schwül.,It’s humid.
Es gibt ein Gewitter.,There’s a thunderstorm.
Es ist stürmisch.,It’s stormy.
Wie viel Grad sind es?,What’s the temperature?
Es ist sehr windig heute.,It’s very windy today.
Das Wetter ist herrlich.,The weather is lovely.
Was sind deine Hobbys?,What are your hobbies?
Ich spiele gerne Fußball.,I like playing soccer.
Ich lese gerne Bücher.,I like reading books.
Ich höre gerne Musik.,I like listening to music.
Ich gehe gerne wandern.,I like hiking.
Ich male gerne.,I like painting.
Ich spiele gerne Videospiele.,I like playing video games.
Ich tanze gerne.,I like dancing.
Ich koche gerne.,I like cooking.
Ich spiele ein Instrument.,I play an instrument.
Ich gehe gerne angeln.,I like fishing.
Ich fotografiere gerne.,I like taking photos.
Ich gehe gerne ins Kino.,I like going to the cinema.
Ich schaue gerne Serien.,I like watching series.
Ich reise gerne.,I like traveling.
Hast du Geschwister?,Do you have siblings?
Ich habe einen Bruder.,I have a brother.
Ich habe eine Schwester.,I have a sister.
Ich bin verheiratet.,I am married.
Ich bin ledig.,I am single.
Ich habe Kinder.,I have children.
Ich lebe mit meinen Eltern.,I live with my parents.
Meine Familie ist groß.,My family is big.
Wir verstehen uns gut.,We get along well.
Ich habe eine enge Beziehung zu meiner Mutter.,I have a close relationship with my mother.
Mein Vater ist sehr freundlich.,My father is very friendly.
Ich bin der Jüngste in der Familie.,I am the youngest in the family.
Ich habe eine große Verwandtschaft.,I have a large extended family.
Wir treffen uns oft.,We meet often.
Ich habe eine große Familie.,I have a big family.
Können Sie mir den Weg zeigen?,Can you show me the way?
Wie komme ich zum Bahnhof?,How do I get to the train station?
Ist es weit von hier?,Is it far from here?
Wo ist die nächste U-Bahn-Station?,Where is the nearest subway station?
In welche Richtung ist das Stadtzentrum?,In which direction is the city center?
Gehen Sie geradeaus.,Go straight ahead.
Biegen Sie links ab.,Turn left.
Biegen Sie rechts ab.,Turn right.
Es ist gleich um die Ecke.,It’s just around the corner.
Wie weit ist es?,How far is it?
Es ist in der Nähe.,It’s nearby.
Kann ich das zu Fuß erreichen?,Can I reach it on foot?
Ich habe mich verlaufen.,I got lost.
Gibt es hier einen Stadtplan?,Is there a map of the city here?
Können Sie mir das auf der Karte zeigen?,Can you show me that on the map?
Guten Morgen!,Good morning!
Guten Tag!,Good afternoon!
Guten Abend!,Good evening!
Gute Nacht!,Good night!
Wie geht’s?,How are you?
Mir geht’s gut, danke.,I’m fine, thank you.
Und dir?,And you?
Schön, dich zu sehen!,Nice to see you!
Bis später!,See you later!
Tschüss!,Bye!
Auf Wiedersehen!,Goodbye!
Entschuldigung!,Excuse me!
Bitte.,Please.
Danke.,Thank you.
Vielen Dank!,Many thanks!
Gern geschehen!,You’re welcome!
Kein Problem.,No problem.
Es tut mir leid.,I’m sorry.
Wie spät ist es?,What time is it?
Es ist [drei] Uhr.,It’s [three] o’clock.
Frohe Weihnachten!,Merry Christmas!
Frohes Neues Jahr!,Happy New Year!
Alles Gute zum Geburtstag!,Happy Birthday!
Herzlichen Glückwunsch!,Congratulations!
Viel Glück!,Good luck!
Gute Besserung!,Get well soon!
Frohe Ostern!,Happy Easter!
Schöne Feiertage!,Happy Holidays!
Schönen Valentinstag!,Happy Valentine’s Day!
Frohes Fest!,Happy holidays!
Prost!,Cheers!
Genieße deinen Tag!,Enjoy your day!
Alles Gute zur Hochzeit!,Congratulations on your wedding!
Viel Erfolg!,Much success!
Ich wünsche dir alles Gute!,I wish you all the best!
Ich brauche einen Arzt.,I need a doctor.
Ich fühle mich krank.,I feel sick.
Ich habe Schmerzen.,I have pain.
Wo ist das Krankenhaus?,Where is the hospital?
Ich brauche Medikamente.,I need medication.
Haben Sie Aspirin?,Do you have aspirin?
Ich habe Fieber.,I have a fever.
Ich habe mich verbrannt.,I burned myself.
Ich habe einen Insektenstich.,I have an insect bite.
Ich bin allergisch gegen [Pollen].,I’m allergic to [pollen].
Ich brauche ein Rezept.,I need a prescription.
Ich habe eine Erkältung.,I have a cold.
Mein Bauch tut weh.,My stomach hurts.
Haben Sie einen Zahnarzt?,Do you have a dentist?
Ich brauche eine Brille.,I need glasses.
Wann ist der Abflug?,When is the departure?
Wo ist das Terminal?,Where is the terminal?
Ist der Flug verspätet?,Is the flight delayed?
Wo ist die Gepäckausgabe?,Where is the baggage claim?
Haben Sie etwas zu deklarieren?,Do you have anything to declare?
Wo kann ich ein Taxi nehmen?,Where can I get a taxi?
Kann ich mein Gepäck hier aufgeben?,Can I check in my luggage here?
Wo ist die Sicherheitskontrolle?,Where is the security check?
Wie lange dauert der Flug?,How long is the flight?
Gibt es eine Gepäckaufbewahrung?,Is there a luggage storage?
Wann boarden wir?,When do we board?
Ist das der richtige Flugsteig?,Is this the right gate?
Ich habe meinen Flug verpasst.,I missed my flight.
Kann ich einen früheren Flug nehmen?,Can I take an earlier flight?
Wo ist der Ausgang?,Where is the exit?
Hallo, wer ist da?,Hello, who is this?
Kann ich mit [Anna] sprechen?,Can I speak with [Anna]?
Einen Moment, bitte.,One moment, please.
Ich rufe später zurück.,I’ll call back later.
Kannst du mir eine Nachricht hinterlassen?,Can you leave me a message?
Ich habe deinen Anruf verpasst.,I missed your call.
Können Sie das wiederholen?,Can you repeat that?
Die Verbindung ist schlecht.,The connection is bad.
Kannst du mir die Nummer geben?,Can you give me the number?
Ich rufe aus dem Ausland an.,I’m calling from abroad.
Haben Sie meine Nachricht erhalten?,Did you get my message?
Ich kann dich nicht hören.,I can’t hear you.
Ich habe kein Signal.,I have no signal.
Kannst du mir eine SMS schicken?,Can you send me a text message?
Wie lautet deine Telefonnummer?,What’s your phone number?
Ich kann mich nicht einloggen.,I can’t log in.
Mein Computer ist abgestürzt.,My computer crashed.
Das Internet ist langsam.,The internet is slow.
Kannst du das drucken?,Can you print that?
Ich brauche einen neuen Akku.,I need a new battery.
Wie funktioniert das?,How does this work?
Mein Handy ist kaputt.,My phone is broken.
Ich brauche ein Ladegerät.,I need a charger.
Hast du WLAN?,Do you have Wi-Fi?
Der Bildschirm ist eingefroren.,The screen is frozen.
Kannst du das speichern?,Can you save that?
Wie verbinde ich mich mit dem Internet?,How do I connect to the internet?
Der Drucker funktioniert nicht.,The printer isn’t working.
Ich habe mein Passwort vergessen.,I forgot my password.
Wo ist die nächste Steckdose?,Where is the nearest power outlet?
Wie sagt man das auf Deutsch?,How do you say that in German?
Können Sie mir helfen?,Can you help me?
Ich verstehe nicht.,I don’t understand.
Könnten Sie das bitte wiederholen?,Could you please repeat that?
Ich spreche nur ein wenig Deutsch.,I speak only a little German.
Sprechen Sie Englisch?,Do you speak English?
Ich bin ein Tourist.,I am a tourist.
Was bedeutet das?,What does that mean?
Können Sie das langsamer sagen?,Can you say that more slowly?
Könnten Sie mir ein Beispiel geben?,Could you give me an example?
Ich lerne Deutsch.,I am learning German.
Können Sie das für mich aufschreiben?,Can you write that down for me?
Ich brauche eine Übersetzung.,I need a translation.
Haben Sie eine Frage?,Do you have a question?
Ich übe Deutsch.,I’m practicing German.
Ich habe einen Termin.,I have an appointment.
Was sind Ihre Symptome?,What are your symptoms?
Ich habe Kopfschmerzen.,I have a headache.
Ich fühle mich schwindlig.,I feel dizzy.
Ich habe Fieber.,I have a fever.
Ich habe Husten.,I have a cough.
Ich habe Halsschmerzen.,I have a sore throat.
Ich habe Rückenschmerzen.,I have back pain.
Ich bin erkältet.,I have a cold.
Ich habe Magenschmerzen.,I have a stomachache.
Ich brauche eine Krankmeldung.,I need a sick note.
Ich habe eine Allergie.,I have an allergy.
Haben Sie Medikamente verschrieben bekommen?,Have you been prescribed any medication?
Ich brauche eine Überweisung.,I need a referral.
Ich muss ins Krankenhaus.,I need to go to the hospital.
Wo ist der nächste Geldautomat?,Where is the nearest ATM?
Ich möchte Geld abheben.,I’d like to withdraw money.
Ich möchte Geld einzahlen.,I’d like to deposit money.
Ich brauche Kleingeld.,I need small change.
Kann ich hier Geld wechseln?,Can I exchange money here?
Ich möchte eine Überweisung machen.,I’d like to make a transfer.
Wie hoch sind die Gebühren?,What are the fees?
Ich habe meine Bankkarte verloren.,I lost my bank card.
Kann ich mit Kreditkarte bezahlen?,Can I pay with a credit card?
Wie hoch ist mein Kontostand?,What is my account balance?
Kann ich einen Kontoauszug bekommen?,Can I get a bank statement?
Ich brauche eine Beratung.,I need some advice.
Wo kann ich ein Darlehen beantragen?,Where can I apply for a loan?
Ich möchte mein Konto schließen.,I’d like to close my account.
Ich möchte einen Brief verschicken.,I’d like to send a letter.
Wie lange dauert die Zustellung?,How long does the delivery take?
Ich möchte einen Einschreibebrief senden.,I’d like to send a registered letter.
Haben Sie Briefmarken?,Do you have stamps?
Ich habe ein Paket zur Abholung.,I have a package to pick up.
Kann ich den Brief verfolgen?,Can I track the letter?
Wann kommt die Post?,When does the mail arrive?
Wo ist der Briefkasten?,Where is the mailbox?
Ich brauche einen Umschlag.,I need an envelope.
Kann ich das versichern?,Can I insure this?
Was ist die Postleitzahl?,What is the postal code?
Können Sie mir einen Lieferschein geben?,Can you give me a receipt?
Wann schließen Sie?,When do you close?
Gibt es eine Expresslieferung?,Is there an express delivery?
Ich suche eine Wohnung.,I’m looking for an apartment.
Wie hoch ist die Miete?,What is the rent?
Ist die Wohnung möbliert?,Is the apartment furnished?
Wie lange ist der Mietvertrag?,How long is the lease?
Kann ich die Wohnung besichtigen?,Can I view the apartment?
Gibt es eine Kaution?,Is there a security deposit?
